order_id,order_date,productI_id,product_name,category,quantity,unit_price,cost_per_unit,discount,customer_type,payment_mode
ORD0073,4/25/2024,P005,Coffee,Beverages,8,50,25,13.26,Returning,UPI
ORD0074,2/18/2024,P003,Veg Sandwich,Meals,3,60,35,10.56,Returning,UPI
ORD0075,2/17/2024,P003,Veg Sandwich,Meals,1,60,35,4.24,New,Wallet
ORD0076,2/4/2024,P003,Veg Sandwich,Meals,6,60,35,14.86,Returning,Card
ORD0077,5/22/2024,P005,Coffee,Beverages,5,50,25,3.02,New,Card
ORD0078,1/30/2024,P001,Cola Drink,Beverages,1,30,15,14.54,Returning,UPI
ORD0079,4/4/2024,P003,Veg Sandwich,Meals,7,60,35,19.24,Returning,Card
ORD0080,12/14/2024,P001,Cola Drink,Beverages,3,30,15,13.28,New,Wallet
ORD0081,10/26/2024,P004,Chocolate Bar,Snacks,2,25,10,10.48,Returning,Card
ORD0082,12/20/2024,P005,Coffee,Beverages,7,50,25,18.01,New,Card
ORD0083,5/31/2024,P002,Potato Chips,Snacks,8,40,20,15.26,New,Wallet
ORD0084,5/27/2024,P002,Potato Chips,Snacks,3,40,20,8.22,New,Wallet
ORD0085,9/4/2024,P003,Veg Sandwich,Meals,2,60,35,3.32,Returning,UPI
ORD0086,2/3/2024,P005,Coffee,Beverages,7,50,25,0.06,New,Card
ORD0087,7/21/2024,P005,Coffee,Beverages,7,50,25,4.06,New,UPI
ORD0088,4/17/2024,P004,Chocolate Bar,Snacks,3,25,10,13.22,New,UPI
ORD0089,10/15/2024,P002,Potato Chips,Snacks,4,40,20,21.94,Returning,Cash
ORD0090,8/7/2024,P005,Coffee,Beverages,8,50,25,23.6,New,Cash
ORD0091,12/6/2024,P004,Chocolate Bar,Snacks,5,25,10,3.24,Returning,Wallet
ORD0092,5/27/2024,P003,Veg Sandwich,Meals,4,60,35,13.16,New,Cash
ORD0093,10/4/2024,P004,Chocolate Bar,Snacks,5,25,10,24.42,Returning,Cash
ORD0094,3/19/2024,P002,Potato Chips,Snacks,3,40,20,20.76,New,UPI
ORD0095,11/12/2024,P003,Veg Sandwich,Meals,5,60,35,12.96,Returning,Cash
ORD0096,8/3/2024,P004,Chocolate Bar,Snacks,2,25,10,1.49,Returning,Wallet
ORD0097,2/14/2024,P001,Cola Drink,Beverages,3,30,15,16.62,Returning,Wallet
ORD0098,4/10/2024,P005,Coffee,Beverages,4,50,25,12.69,New,Cash
ORD0099,7/8/2024,P004,Chocolate Bar,Snacks,3,25,10,5.22,New,Card
ORD0100,4/13/2024,P001,Cola Drink,Beverages,4,30,15,5.35,Returning,UPI
ORD0101,7/2/2024,P005,Coffee,Beverages,1,50,25,0.54,New,UPI
ORD0102,11/7/2024,P005,Coffee,Beverages,8,50,25,11.64,Returning,UPI
ORD0103,7/23/2024,P001,Cola Drink,Beverages,5,30,15,11.25,New,Card
ORD0104,9/4/2024,P001,Cola Drink,Beverages,3,30,15,11.61,New,Cash
ORD0105,2/20/2024,P001,Cola Drink,Beverages,3,30,15,13.63,New,Cash
ORD0106,3/24/2024,P001,Cola Drink,Beverages,3,30,15,4.83,Returning,UPI
ORD0107,1/4/2024,P003,Veg Sandwich,Meals,7,60,35,7.24,New,Wallet
ORD0108,2/28/2024,P003,Veg Sandwich,Meals,6,60,35,10.96,New,UPI
ORD0109,11/15/2024,P001,Cola Drink,Beverages,3,30,15,1.95,Returning,Card
ORD0110,8/8/2024,P001,Cola Drink,Beverages,3,30,15,20.44,Returning,Cash
ORD0111,11/30/2024,P001,Cola Drink,Beverages,4,30,15,21.23,New,UPI
ORD0112,8/24/2024,P003,Veg Sandwich,Meals,6,60,35,8.76,New,Card
ORD0113,3/11/2024,P001,Cola Drink,Beverages,8,30,15,18.25,Returning,Card
ORD0114,8/11/2024,P005,Coffee,Beverages,4,50,25,14.06,New,Wallet
ORD0115,10/10/2024,P003,Veg Sandwich,Meals,1,60,35,19.29,Returning,Cash
ORD0116,5/25/2024,P001,Cola Drink,Beverages,2,30,15,18.41,Returning,Card
ORD0117,7/11/2024,P003,Veg Sandwich,Meals,8,60,35,1.23,Returning,Cash
ORD0118,12/25/2024,P004,Chocolate Bar,Snacks,4,25,10,17.57,Returning,Wallet
ORD0119,11/29/2024,P005,Coffee,Beverages,5,50,25,8.66,New,Wallet
ORD0120,10/15/2024,P001,Cola Drink,Beverages,2,30,15,17.36,New,Wallet
ORD0121,10/14/2024,P003,Veg Sandwich,Meals,1,60,35,0.38,Returning,Card
ORD0122,6/19/2024,P001,Cola Drink,Beverages,8,30,15,11.57,New,Wallet
ORD0123,12/8/2024,P004,Chocolate Bar,Snacks,5,25,10,15.5,Returning,UPI
ORD0124,9/17/2024,P002,Potato Chips,Snacks,1,40,20,2.57,New,UPI
ORD0125,7/26/2024,P004,Chocolate Bar,Snacks,3,25,10,10,Returning,UPI
ORD0126,4/2/2024,P001,Cola Drink,Beverages,6,30,15,22.53,Returning,UPI
ORD0127,3/10/2024,P002,Potato Chips,Snacks,7,40,20,6.7,Returning,UPI
ORD0128,3/24/2024,P001,Cola Drink,Beverages,6,30,15,6.67,Returning,Wallet
ORD0129,8/24/2024,P003,Veg Sandwich,Meals,1,60,35,0.86,Returning,Wallet
ORD0130,11/26/2024,P002,Potato Chips,Snacks,7,40,20,0.75,New,UPI
ORD0131,6/12/2024,P001,Cola Drink,Beverages,8,30,15,17.58,New,Card
ORD0132,1/30/2024,P003,Veg Sandwich,Meals,7,60,35,10.51,New,Wallet
ORD0133,6/12/2024,P005,Coffee,Beverages,5,50,25,13.61,New,Card
ORD0134,10/17/2024,P005,Coffee,Beverages,6,50,25,2.03,New,UPI
ORD0135,4/24/2024,P004,Chocolate Bar,Snacks,5,25,10,21.5,New,UPI
ORD0136,8/12/2024,P002,Potato Chips,Snacks,5,40,20,10.55,Returning,Card
ORD0137,1/19/2024,P003,Veg Sandwich,Meals,2,60,35,20.83,New,UPI
ORD0138,4/2/2024,P003,Veg Sandwich,Meals,8,60,35,8,New,Cash
ORD0139,11/18/2024,P001,Cola Drink,Beverages,3,30,15,21.76,New,Card
ORD0140,9/23/2024,P003,Veg Sandwich,Meals,7,60,35,2.54,Returning,UPI
ORD0141,11/18/2024,P004,Chocolate Bar,Snacks,7,25,10,21.51,Returning,Cash
ORD0142,2/21/2024,P001,Cola Drink,Beverages,6,30,15,23.97,Returning,Cash
ORD0143,4/24/2024,P001,Cola Drink,Beverages,6,30,15,11.23,Returning,Wallet
ORD0144,7/9/2024,P002,Potato Chips,Snacks,3,40,20,20.24,Returning,Wallet
ORD0145,1/28/2024,P005,Coffee,Beverages,5,50,25,7.37,Returning,Card
ORD0146,8/30/2024,P004,Chocolate Bar,Snacks,6,25,10,17.79,Returning,Wallet
ORD0147,1/27/2024,P005,Coffee,Beverages,5,50,25,20.59,Returning,UPI
ORD0148,6/1/2024,P003,Veg Sandwich,Meals,3,60,35,10.95,New,Cash
ORD0149,10/30/2024,P004,Chocolate Bar,Snacks,3,25,10,4.64,New,UPI
ORD0150,8/4/2024,P003,Veg Sandwich,Meals,4,60,35,14.55,New,Wallet
ORD0151,4/29/2024,P003,Veg Sandwich,Meals,1,60,35,8.45,Returning,UPI
ORD0152,11/28/2024,P001,Cola Drink,Beverages,8,30,15,10.22,New,Cash
ORD0153,7/18/2024,P005,Coffee,Beverages,4,50,25,14.3,Returning,Card
ORD0154,10/14/2024,P003,Veg Sandwich,Meals,4,60,35,8.73,Returning,Card
ORD0155,2/21/2024,P001,Cola Drink,Beverages,4,30,15,15.23,New,Cash
ORD0156,12/4/2024,P004,Chocolate Bar,Snacks,6,25,10,11.47,New,Card
ORD0157,2/11/2024,P004,Chocolate Bar,Snacks,4,25,10,3.72,New,Cash
ORD0158,1/31/2024,P001,Cola Drink,Beverages,4,30,15,24.17,Returning,Cash
ORD0159,3/18/2024,P002,Potato Chips,Snacks,6,40,20,8.5,Returning,UPI
ORD0160,4/2/2024,P004,Chocolate Bar,Snacks,4,25,10,20.54,New,Cash
ORD0161,12/8/2024,P001,Cola Drink,Beverages,2,30,15,9.64,Returning,Wallet
ORD0162,7/23/2024,P002,Potato Chips,Snacks,5,40,20,1.24,New,Cash
ORD0163,3/6/2024,P002,Potato Chips,Snacks,4,40,20,20.14,New,Cash
ORD0164,6/16/2024,P005,Coffee,Beverages,6,50,25,10.33,Returning,Cash
ORD0165,5/10/2024,P003,Veg Sandwich,Meals,5,60,35,2.2,New,Card
ORD0166,1/13/2024,P001,Cola Drink,Beverages,6,30,15,18.38,Returning,Card
ORD0167,11/24/2024,P005,Coffee,Beverages,5,50,25,16.22,Returning,UPI
ORD0168,6/7/2024,P003,Veg Sandwich,Meals,5,60,35,7.9,New,UPI
ORD0169,1/29/2024,P001,Cola Drink,Beverages,1,30,15,16.52,Returning,Card
ORD0170,9/10/2024,P003,Veg Sandwich,Meals,5,60,35,14.33,New,Cash
ORD0171,2/22/2024,P005,Coffee,Beverages,4,50,25,9.56,Returning,Wallet
ORD0172,9/4/2024,P002,Potato Chips,Snacks,4,40,20,11.26,Returning,Cash
ORD0173,5/25/2024,P003,Veg Sandwich,Meals,5,60,35,1.55,Returning,Wallet
ORD0174,9/25/2024,P005,Coffee,Beverages,5,50,25,5.84,Returning,UPI
ORD0175,8/4/2024,P002,Potato Chips,Snacks,5,40,20,15.09,New,UPI
ORD0176,9/21/2024,P004,Chocolate Bar,Snacks,5,25,10,1.21,New,Wallet
ORD0177,7/8/2024,P001,Cola Drink,Beverages,6,30,15,2.49,New,Wallet
ORD0178,6/23/2024,P003,Veg Sandwich,Meals,6,60,35,12.62,New,UPI
ORD0179,5/29/2024,P005,Coffee,Beverages,6,50,25,13.47,Returning,Wallet
ORD0180,7/12/2024,P002,Potato Chips,Snacks,1,40,20,8.99,New,Cash
ORD0181,2/19/2024,P003,Veg Sandwich,Meals,3,60,35,22.04,New,Card
ORD0182,6/27/2024,P001,Cola Drink,Beverages,6,30,15,20.1,Returning,Cash
ORD0183,6/23/2024,P002,Potato Chips,Snacks,1,40,20,10.39,New,Cash
ORD0184,3/8/2024,P005,Coffee,Beverages,8,50,25,3.14,New,UPI
ORD0185,2/17/2024,P002,Potato Chips,Snacks,7,40,20,11.2,New,Wallet
ORD0186,6/20/2024,P003,Veg Sandwich,Meals,1,60,35,15.76,Returning,UPI
ORD0187,1/19/2024,P001,Cola Drink,Beverages,4,30,15,1.82,Returning,Cash
ORD0188,10/18/2024,P004,Chocolate Bar,Snacks,7,25,10,13.1,Returning,Card
ORD0189,10/15/2024,P003,Veg Sandwich,Meals,4,60,35,24.29,New,Wallet
ORD0190,2/22/2024,P005,Coffee,Beverages,7,50,25,19.13,Returning,UPI
ORD0191,3/20/2024,P002,Potato Chips,Snacks,1,40,20,24,New,Wallet
ORD0192,12/30/2024,P001,Cola Drink,Beverages,4,30,15,1.4,Returning,Wallet
ORD0193,12/9/2024,P005,Coffee,Beverages,2,50,25,14.48,Returning,UPI
ORD0194,9/8/2024,P004,Chocolate Bar,Snacks,2,25,10,23.94,Returning,Cash
ORD0195,10/31/2024,P001,Cola Drink,Beverages,8,30,15,21.51,New,Card
ORD0196,4/18/2024,P001,Cola Drink,Beverages,8,30,15,15.22,Returning,UPI
ORD0197,4/1/2024,P001,Cola Drink,Beverages,7,30,15,11.23,New,Cash
ORD0198,7/8/2024,P003,Veg Sandwich,Meals,4,60,35,2.62,Returning,Card
ORD0199,5/26/2024,P005,Coffee,Beverages,5,50,25,6.63,New,UPI
ORD0200,1/2/2024,P002,Potato Chips,Snacks,8,40,20,17.12,Returning,UPI
ORD0201,5/6/2024,P004,Chocolate Bar,Snacks,6,25,10,22.93,New,Card
ORD0202,5/6/2024,P001,Cola Drink,Beverages,8,30,15,13.29,Returning,Wallet
ORD0203,6/16/2024,P001,Cola Drink,Beverages,7,30,15,0.09,New,Wallet
ORD0204,12/12/2024,P005,Coffee,Beverages,4,50,25,12.45,Returning,UPI
ORD0205,4/28/2024,P005,Coffee,Beverages,8,50,25,2.76,Returning,UPI
ORD0206,10/1/2024,P001,Cola Drink,Beverages,7,30,15,2.58,New,UPI
ORD0207,7/19/2024,P003,Veg Sandwich,Meals,7,60,35,8.61,New,UPI
ORD0208,5/7/2024,P002,Potato Chips,Snacks,7,40,20,14.66,Returning,Cash
ORD0209,12/17/2024,P003,Veg Sandwich,Meals,2,60,35,4.35,Returning,Wallet
ORD0210,12/5/2024,P002,Potato Chips,Snacks,2,40,20,9.94,New,Card
ORD0211,1/6/2024,P002,Potato Chips,Snacks,6,40,20,19.4,New,UPI
ORD0212,10/29/2024,P004,Chocolate Bar,Snacks,4,25,10,4.41,New,Card
ORD0213,1/13/2024,P003,Veg Sandwich,Meals,3,60,35,6.7,Returning,Card
ORD0214,11/8/2024,P001,Cola Drink,Beverages,5,30,15,17.18,New,UPI
ORD0215,9/28/2024,P003,Veg Sandwich,Meals,1,60,35,3.31,New,UPI
ORD0216,4/21/2024,P004,Chocolate Bar,Snacks,4,25,10,12.5,Returning,UPI
ORD0217,8/10/2024,P005,Coffee,Beverages,1,50,25,7.24,New,Wallet
ORD0218,5/16/2024,P003,Veg Sandwich,Meals,3,60,35,19.74,Returning,Card
ORD0219,6/6/2024,P002,Potato Chips,Snacks,2,40,20,0.14,New,Card
ORD0220,9/19/2024,P003,Veg Sandwich,Meals,7,60,35,14.84,New,UPI
ORD0221,2/11/2024,P004,Chocolate Bar,Snacks,6,25,10,20.15,Returning,UPI
ORD0222,9/12/2024,P002,Potato Chips,Snacks,2,40,20,8.39,Returning,Card
ORD0223,3/26/2024,P001,Cola Drink,Beverages,7,30,15,8.26,Returning,Wallet
ORD0224,10/18/2024,P001,Cola Drink,Beverages,3,30,15,0.04,New,Cash
ORD0225,8/3/2024,P001,Cola Drink,Beverages,2,30,15,19.67,New,Card
ORD0226,3/13/2024,P001,Cola Drink,Beverages,8,30,15,9.68,New,Card
ORD0227,6/24/2024,P002,Potato Chips,Snacks,5,40,20,20.42,New,Card
ORD0228,3/24/2024,P005,Coffee,Beverages,5,50,25,22.53,Returning,Cash
ORD0229,1/30/2024,P004,Chocolate Bar,Snacks,3,25,10,16.05,New,Wallet
ORD0230,12/24/2024,P001,Cola Drink,Beverages,4,30,15,22.82,New,Wallet
ORD0231,5/29/2024,P004,Chocolate Bar,Snacks,1,25,10,3.89,New,Cash
ORD0232,5/3/2024,P001,Cola Drink,Beverages,6,30,15,19.57,Returning,Card
ORD0233,7/24/2024,P003,Veg Sandwich,Meals,3,60,35,3.56,Returning,Cash
ORD0234,6/21/2024,P004,Chocolate Bar,Snacks,5,25,10,14.85,Returning,Card
ORD0235,10/5/2024,P002,Potato Chips,Snacks,4,40,20,19.79,New,Cash
ORD0236,1/1/2024,P005,Coffee,Beverages,3,50,25,7.57,New,Card
ORD0237,3/22/2024,P001,Cola Drink,Beverages,8,30,15,14.22,Returning,Cash
ORD0238,2/10/2024,P004,Chocolate Bar,Snacks,2,25,10,8.65,New,Cash
ORD0239,1/28/2024,P005,Coffee,Beverages,4,50,25,1.23,Returning,Cash
ORD0240,10/16/2024,P001,Cola Drink,Beverages,1,30,15,12.99,New,UPI
ORD0241,1/20/2024,P005,Coffee,Beverages,7,50,25,11.18,Returning,UPI
ORD0242,12/24/2024,P003,Veg Sandwich,Meals,5,60,35,8.88,New,UPI
ORD0243,7/6/2024,P002,Potato Chips,Snacks,2,40,20,13.55,Returning,Wallet
ORD0244,1/28/2024,P003,Veg Sandwich,Meals,2,60,35,5.83,Returning,Wallet
ORD0245,7/5/2024,P001,Cola Drink,Beverages,1,30,15,13.4,New,Cash
ORD0246,2/13/2024,P002,Potato Chips,Snacks,8,40,20,9.7,New,Wallet
ORD0247,11/19/2024,P001,Cola Drink,Beverages,5,30,15,2.72,New,Cash
ORD0248,7/7/2024,P002,Potato Chips,Snacks,1,40,20,0.01,Returning,Wallet
ORD0249,6/1/2024,P001,Cola Drink,Beverages,5,30,15,15,New,Card
ORD0250,5/19/2024,P005,Coffee,Beverages,6,50,25,19.69,New,Wallet
ORD0251,7/30/2024,P005,Coffee,Beverages,7,50,25,6.49,Returning,Wallet
ORD0252,1/15/2024,P005,Coffee,Beverages,4,50,25,23.87,Returning,Wallet
ORD0253,12/18/2024,P004,Chocolate Bar,Snacks,5,25,10,18.7,New,Cash
ORD0254,4/25/2024,P004,Chocolate Bar,Snacks,2,25,10,12.9,Returning,Cash
ORD0255,1/5/2024,P004,Chocolate Bar,Snacks,7,25,10,5.88,New,Card
ORD0256,6/29/2024,P002,Potato Chips,Snacks,7,40,20,18.02,New,Wallet
ORD0257,6/25/2024,P002,Potato Chips,Snacks,8,40,20,14.76,New,UPI
ORD0258,7/5/2024,P001,Cola Drink,Beverages,7,30,15,20.63,Returning,Card
ORD0259,5/31/2024,P003,Veg Sandwich,Meals,3,60,35,11.84,New,Card
ORD0260,6/24/2024,P003,Veg Sandwich,Meals,4,60,35,12.93,Returning,Cash
ORD0261,9/8/2024,P002,Potato Chips,Snacks,1,40,20,23.46,Returning,Card
ORD0262,10/25/2024,P005,Coffee,Beverages,6,50,25,13.68,Returning,Card
ORD0263,10/10/2024,P004,Chocolate Bar,Snacks,2,25,10,2.92,New,UPI
ORD0264,8/2/2024,P005,Coffee,Beverages,1,50,25,15.45,Returning,UPI
ORD0265,7/21/2024,P003,Veg Sandwich,Meals,1,60,35,7.54,New,Wallet
ORD0266,2/4/2024,P003,Veg Sandwich,Meals,7,60,35,23.75,Returning,Card
ORD0267,12/29/2024,P005,Coffee,Beverages,2,50,25,17.21,New,Cash
ORD0268,6/4/2024,P002,Potato Chips,Snacks,2,40,20,7.98,Returning,Card
ORD0269,9/13/2024,P005,Coffee,Beverages,2,50,25,18.68,New,Cash
ORD0270,2/25/2024,P003,Veg Sandwich,Meals,1,60,35,15.22,Returning,Card
ORD0271,5/28/2024,P001,Cola Drink,Beverages,1,30,15,23.98,New,Wallet
ORD0272,5/23/2024,P005,Coffee,Beverages,6,50,25,0.99,New,UPI
ORD0273,1/29/2024,P005,Coffee,Beverages,1,50,25,17.5,Returning,Card
ORD0274,2/12/2024,P004,Chocolate Bar,Snacks,3,25,10,3.73,Returning,Wallet
ORD0275,5/14/2024,P005,Coffee,Beverages,7,50,25,15.63,New,UPI
ORD0276,3/20/2024,P004,Chocolate Bar,Snacks,4,25,10,6.82,Returning,Wallet
ORD0277,9/15/2024,P005,Coffee,Beverages,2,50,25,21.93,New,UPI
ORD0278,5/26/2024,P003,Veg Sandwich,Meals,5,60,35,3.3,Returning,Cash
ORD0279,12/2/2024,P001,Cola Drink,Beverages,2,30,15,12.49,Returning,Wallet
ORD0280,12/21/2024,P003,Veg Sandwich,Meals,6,60,35,7.65,New,Wallet
ORD0281,12/5/2024,P005,Coffee,Beverages,2,50,25,23.41,Returning,Cash
ORD0282,3/10/2024,P002,Potato Chips,Snacks,2,40,20,19.2,Returning,UPI
ORD0283,12/6/2024,P002,Potato Chips,Snacks,8,40,20,20.82,Returning,Cash
ORD0284,3/18/2024,P002,Potato Chips,Snacks,1,40,20,23.06,New,Wallet
ORD0285,2/18/2024,P001,Cola Drink,Beverages,7,30,15,4.46,Returning,Wallet
ORD0286,3/14/2024,P003,Veg Sandwich,Meals,1,60,35,17.8,New,UPI
ORD0287,3/6/2024,P001,Cola Drink,Beverages,5,30,15,10.01,Returning,UPI
ORD0288,11/8/2024,P001,Cola Drink,Beverages,2,30,15,9.06,New,Wallet
ORD0289,6/17/2024,P004,Chocolate Bar,Snacks,1,25,10,10.17,Returning,UPI
ORD0290,4/19/2024,P003,Veg Sandwich,Meals,8,60,35,3.58,New,UPI
ORD0291,1/20/2024,P002,Potato Chips,Snacks,6,40,20,8.35,New,Card
ORD0292,10/18/2024,P001,Cola Drink,Beverages,8,30,15,3.56,New,Wallet
ORD0293,8/30/2024,P005,Coffee,Beverages,4,50,25,1.28,New,Card
ORD0294,12/27/2024,P002,Potato Chips,Snacks,8,40,20,8.54,Returning,Cash
ORD0295,6/29/2024,P004,Chocolate Bar,Snacks,5,25,10,8.41,Returning,Cash
ORD0296,9/18/2024,P001,Cola Drink,Beverages,3,30,15,0.54,Returning,Card
ORD0297,11/22/2024,P001,Cola Drink,Beverages,2,30,15,23.3,Returning,Cash
ORD0298,5/14/2024,P002,Potato Chips,Snacks,3,40,20,4.45,Returning,UPI
ORD0299,9/3/2024,P004,Chocolate Bar,Snacks,5,25,10,15.27,New,UPI
ORD0300,1/10/2024,P003,Veg Sandwich,Meals,5,60,35,2.99,Returning,UPI
ORD0301,9/10/2024,P003,Veg Sandwich,Meals,7,60,35,16.07,New,Card
ORD0302,1/3/2024,P001,Cola Drink,Beverages,4,30,15,6.66,Returning,Wallet
ORD0303,7/3/2024,P001,Cola Drink,Beverages,6,30,15,7.08,New,UPI
ORD0304,4/21/2024,P003,Veg Sandwich,Meals,4,60,35,16.5,New,Cash
ORD0305,5/7/2024,P004,Chocolate Bar,Snacks,5,25,10,16.39,New,Card
ORD0306,2/23/2024,P004,Chocolate Bar,Snacks,3,25,10,8.82,New,Card
ORD0307,4/19/2024,P003,Veg Sandwich,Meals,5,60,35,20.36,Returning,Cash
ORD0308,7/31/2024,P001,Cola Drink,Beverages,7,30,15,5.27,New,Card
